[BrainBitSignalData(PackNum=22, Marker=0, O1=0.04371761676561047, O2=0.14498724459385356, T3=0.07595985027298953, T4=0.12135173926519324), BrainBitSignalData(PackNum=22, Marker=0, O1=0.03121760484467015, O2=0.15748687504470352, T3=0.06345983835204921, T4=0.1338513697160432)]
[BrainBitSignalData(PackNum=23, Marker=0, O1=-0.043059199389647855, O2=0.4, T3=-0.04369930620127316, T4=0.4), BrainBitSignalData(PackNum=23, Marker=0, O1=-0.030559568938797892, O2=0.38749998807905967, T3=-0.031199675750423195, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=24, Marker=0, O1=0.05613904584793648, O2=0.10785799775886322, T3=0.08607300383854279, T4=0.08775185370622035), BrainBitSignalData(PackNum=24, Marker=0, O1=0.04363903392699616, O2=0.12035762820971319, T3=0.07357299191760246, T4=0.10025148415707032)]
[BrainBitSignalData(PackNum=25, Marker=0, O1=-0.05218739718188971, O2=0.4, T3=-0.05250592470734092, T4=0.4), BrainBitSignalData(PackNum=25, Marker=0, O1=-0.03968776673103975, O2=0.38749998807905967, T3=-0.04000629425649095, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=26, Marker=0, O1=0.06378218057840403, O2=0.08718041151085998, T3=0.09153412965214697, T4=0.06826521708032329), BrainBitSignalData(PackNum=26, Marker=0, O1=0.051282168657463705, O2=0.09968004196170994, T3=0.07903411773120664, T4=0.08076484753117326)]
[BrainBitSignalData(PackNum=27, Marker=0, O1=-0.05789304532341511, O2=0.4, T3=-0.05716939656200081, T4=0.4), BrainBitSignalData(PackNum=27, Marker=0, O1=-0.04539341487256515, O2=0.38749998807905967, T3=-0.04466976611115085, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=28, Marker=0, O1=0.06802985003457072, O2=0.08514870180959874, T3=0.09261025677705458, T4=0.06441503945831248), BrainBitSignalData(PackNum=28, Marker=0, O1=0.0555298381136304, O2=0.09764833226044871, T3=0.08011024485611425, T4=0.07691466990916243)]
[BrainBitSignalData(PackNum=29, Marker=0, O1=-0.05999608993157381, O2=0.4, T3=-0.05761495362754214, T4=0.4), BrainBitSignalData(PackNum=29, Marker=0, O1=-0.04749645948072384, O2=0.38749998807905967, T3=-0.04511532317669218, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=30, Marker=0, O1=0.06845671506568439, O2=0.10074129175309349, T3=0.08932885105977159, T4=0.07511184226211763), BrainBitSignalData(PackNum=30, Marker=0, O1=0.05595670314474406, O2=0.11324092220394345, T3=0.07682883913883128, T4=0.0876114727129676)]
[BrainBitSignalData(PackNum=31, Marker=0, O1=-0.05868268841046182, O2=0.4, T3=-0.053893331425982884, T4=0.4), BrainBitSignalData(PackNum=31, Marker=0, O1=-0.046183057959611855, O2=0.4, T3=-0.04139370097513292, T4=0.38749998807905967)]
